Date	Hour	Sales	Transactions	Items
2/16/2010	11	3724.73	111	1113
2/16/2010	12	4340.65	114	1243
2/16/2010	13	4052.25	122	1201
2/16/2010	14	5073.31	122	1492
2/16/2010	15	4845.42	115	1384
2/16/2010	16	5454.37	133	1633
2/16/2010	17	5730.87	135	1729
2/16/2010	18	5202.17	143	1615
2/16/2010	19	4777.18	137	1582
2/16/2010	20	3020.27	76	876
2/16/2010	21	3016.03	88	943
2/16/2010	22	689.15	9	160
2/17/2010	8	7.28	1	2
2/17/2010	9	1882.71	57	517
2/17/2010	10	3920.58	98	1072
2/17/2010	11	4863.24	109	1358
2/17/2010	12	5097.19	122	1381
2/17/2010	13	5591.7	123	1541
2/17/2010	14	3623.75	102	1064
2/17/2010	15	5265.56	122	1409
2/17/2010	16	4705.32	113	1300
2/17/2010	17	4144.81	120	1302
2/17/2010	18	5042.83	146	1432
2/17/2010	19	3706.14	105	1101
2/17/2010	20	3906.19	114	1119
2/17/2010	21	2552.92	67	671
2/17/2010	22	6.85	1	5
2/18/2010	8	1.49	1	1
2/18/2010	9	2396.58	65	677
2/18/2010	10	3079.96	76	928
2/18/2010	11	4505.58	111	1207
2/18/2010	12	5249.14	133	1325
2/18/2010	13	5859.99	128	1522
2/18/2010	14	5744.52	142	1615
2/18/2010	15	5560.93	126	1467
2/18/2010	16	5431.33	127	1493
2/18/2010	17	3792.6	100	1083
2/18/2010	18	4638.63	134	1374
2/18/2010	19	3731.94	114	1092
2/18/2010	20	4056.88	96	1143
2/18/2010	21	2657.49	74	763
2/18/2010	22	26.52	4	19
2/19/2010	8	-29.99	1	-1
2/19/2010	9	1745.16	57	544
2/19/2010	10	4734.72	97	1283
2/19/2010	11	4321.75	103	1242
2/19/2010	12	4115.87	110	1199
2/19/2010	13	5023.24	129	1518
2/19/2010	14	6105.48	133	1506
2/19/2010	15	3937.01	102	1212
2/19/2010	16	5910.5	131	1644
2/19/2010	17	5679.89	140	1640
2/19/2010	18	4500.18	117	1323
2/19/2010	19	4117.85	118	1308
2/19/2010	20	2946.32	82	887
2/19/2010	21	2052.73	44	590
2/19/2010	22	98.3	3	33
2/20/2010	8	2.29	1	1
2/20/2010	9	3717.74	87	1089
2/20/2010	10	6795.78	125	1653
2/20/2010	11	7608.05	147	2175
2/20/2010	12	7988.49	166	2367
2/20/2010	13	8450.11	147	2274
2/20/2010	14	8120.12	166	2387
2/20/2010	15	8706.26	181	2578
2/20/2010	16	8272.72	186	2570
2/20/2010	17	7923.64	170	2194
2/20/2010	18	7513.28	174	2129
2/20/2010	19	3823.11	90	1211
2/20/2010	20	4400.73	74	1205
2/20/2010	21	150.87	4	42
2/21/2010	9	4122.66	76	1066
2/21/2010	10	7032.27	124	1961
2/21/2010	11	7522.58	146	2214
2/21/2010	12	7356.35	186	2242
2/21/2010	13	6559.81	155	1995
2/21/2010	14	7526.28	141	2086
2/21/2010	15	8162.57	167	2405
2/21/2010	16	9405.3	193	2678
2/21/2010	17	7893.61	174	2377
2/21/2010	18	6548.64	165	2146
2/21/2010	19	5905.07	123	1804
2/21/2010	20	4502.89	86	1355
2/21/2010	21	607.67	7	125
2/22/2010	9	1680.74	55	484
2/22/2010	10	2814.37	72	829
2/22/2010	11	4883.22	95	1317
2/22/2010	12	5286.13	123	1404
2/22/2010	13	5621.5	127	1451
2/22/2010	14	4872.77	120	1420
2/22/2010	15	5875.04	137	1821
2/22/2010	16	4809.03	127	1363
2/22/2010	17	6946.33	156	2033
2/22/2010	18	5351.3	145	1586
2/22/2010	19	4488.69	127	1329
2/22/2010	20	3801.05	105	1225
